uuid,paper_uuid
29970791-62d8-456a-977e-b2f6d7d7bb03,0b7e5db6-d376-43e6-adde-83a36895cee1
239d321a-5163-4d19-914d-19414b692478,0b7e5db6-d376-43e6-adde-83a36895cee1
7674a4d9-6dbf-4ddd-8bae-a76f52aa6998,0b7e5db6-d376-43e6-adde-83a36895cee1
0ab223b2-313e-4397-a91f-a3b721641db9,9d5ea1e2-c070-4390-8175-6b6197fb090f
d093bb9e-52ee-4ffd-aaf6-24cfa1669958,9d5ea1e2-c070-4390-8175-6b6197fb090f
a7c3a07c-675d-491f-86ad-e88dc4a49eb9,9d5ea1e2-c070-4390-8175-6b6197fb090f
de7075f2-8cf5-459f-a754-34684a808d0d,9d5ea1e2-c070-4390-8175-6b6197fb090f
c613b25b-967c-4586-9101-ece3a901fd9c,9d5ea1e2-c070-4390-8175-6b6197fb090f
a123b39f-447b-434f-b3d3-6ea464a76ab3,6425b47b-65de-4bb2-9491-21a403b58efd
cd2914e0-9626-4f9a-9029-8fbcb2dd0407,6425b47b-65de-4bb2-9491-21a403b58efd
90cd58b0-23c4-41b7-bba3-470cbcb889b3,6425b47b-65de-4bb2-9491-21a403b58efd
c613b25b-967c-4586-9101-ece3a901fd9c,6425b47b-65de-4bb2-9491-21a403b58efd
c20ab322-2720-454c-a9fd-6bd247e7f0b2,6425b47b-65de-4bb2-9491-21a403b58efd
de7075f2-8cf5-459f-a754-34684a808d0d,6425b47b-65de-4bb2-9491-21a403b58efd
6609aec0-942b-49ec-9b81-9b9d507821c9,9e77e6ef-8e6c-452e-b778-3d6779cfc475
f6cf6288-a746-4584-b3b1-e18a5dac1252,9e77e6ef-8e6c-452e-b778-3d6779cfc475
edb36631-7300-4d45-975b-f3d47f2e9bb1,9e77e6ef-8e6c-452e-b778-3d6779cfc475
bcb0ce74-859a-4545-85ea-e0a7f512a38d,9e77e6ef-8e6c-452e-b778-3d6779cfc475
de7075f2-8cf5-459f-a754-34684a808d0d,9e77e6ef-8e6c-452e-b778-3d6779cfc475
3a87e126-62a1-4bd3-b580-f685d7f7e263,0cd1544c-39ac-4251-8796-5d50df4b1ea9
8119878e-1875-4cdf-a6a8-a9025057ddc8,0cd1544c-39ac-4251-8796-5d50df4b1ea9
f5de6d26-43e2-4421-b647-50fd3e592ae6,0cd1544c-39ac-4251-8796-5d50df4b1ea9
7644a3c4-ead1-45b3-8574-983fde8ff4b3,0cd1544c-39ac-4251-8796-5d50df4b1ea9
b0104fe7-01b9-4d5c-8758-6b5af551361d,0cd1544c-39ac-4251-8796-5d50df4b1ea9
c2a298a3-9afb-4e59-adf3-de69a21ef57f,0cd1544c-39ac-4251-8796-5d50df4b1ea9
90cd58b0-23c4-41b7-bba3-470cbcb889b3,7d682e80-ae14-49e8-bc98-fad0e6b074e4
7b5428b8-97b5-4781-9283-1aa2b375b85d,7d682e80-ae14-49e8-bc98-fad0e6b074e4
de7075f2-8cf5-459f-a754-34684a808d0d,7d682e80-ae14-49e8-bc98-fad0e6b074e4
2099d9ce-d646-4b09-9389-a04e9440d407,7d682e80-ae14-49e8-bc98-fad0e6b074e4
f60c12e0-45d1-4230-86f1-cfb5e73cbb53,7d682e80-ae14-49e8-bc98-fad0e6b074e4
5a38bcd9-65d1-4826-b07d-7e3323decb71,7d682e80-ae14-49e8-bc98-fad0e6b074e4
40f80aae-01e3-482c-a135-f9793caf5bcf,2507dd90-e6b6-4c8e-a8b4-99d49629739c
fc13d950-fd2e-450e-9730-26e18f65e538,2507dd90-e6b6-4c8e-a8b4-99d49629739c
522b8ba8-3090-4d12-830c-9d1bdf65f395,2507dd90-e6b6-4c8e-a8b4-99d49629739c
9b5ce536-b635-46de-838c-499dd4e01cfa,7035e71f-2f85-49b1-b97c-ea7d9b438d07
beb8f4b3-7a8e-4ced-b8b3-7bce058e3660,7035e71f-2f85-49b1-b97c-ea7d9b438d07
7527dcb3-5836-463d-abdd-ad1e9f611a7f,7035e71f-2f85-49b1-b97c-ea7d9b438d07
8119878e-1875-4cdf-a6a8-a9025057ddc8,7035e71f-2f85-49b1-b97c-ea7d9b438d07
6af31fae-626d-477a-ab25-9346cb6527c1,ddf2cfd5-cf3b-4d8e-92df-9c905cce1b49
014e7fd1-8de7-45a8-ae92-bc3f78a945a8,ddf2cfd5-cf3b-4d8e-92df-9c905cce1b49
152807bd-4e33-4973-8759-695e7fe3fcde,ddf2cfd5-cf3b-4d8e-92df-9c905cce1b49
29ee971f-6a78-4741-a6f6-ebb830a818e1,ce6ed5ea-221e-44cd-8173-f04da6e140f4
8a488a1c-7ed7-4e3c-b88d-4fbd13d60720,ce6ed5ea-221e-44cd-8173-f04da6e140f4
3e69ba11-6be4-426f-9b3c-cec015c46cc9,ce6ed5ea-221e-44cd-8173-f04da6e140f4
30e7e33e-ed58-4a10-af84-fd20831e76e3,ce6ed5ea-221e-44cd-8173-f04da6e140f4
d45fedc3-dfe6-48e1-9b31-8fa3bb2c57d5,ce6ed5ea-221e-44cd-8173-f04da6e140f4
8119878e-1875-4cdf-a6a8-a9025057ddc8,247e3530-c8c8-41d7-87bc-5e761605e047
19afb09d-66d9-4a0e-b642-8cf3a6d82d67,247e3530-c8c8-41d7-87bc-5e761605e047
9b5ce536-b635-46de-838c-499dd4e01cfa,247e3530-c8c8-41d7-87bc-5e761605e047
ea6c889e-2c79-4c5e-a67b-ccffeaedd467,247e3530-c8c8-41d7-87bc-5e761605e047
8119878e-1875-4cdf-a6a8-a9025057ddc8,786c66c6-10fe-4b0f-bd15-10d5dd8e6735
9b5ce536-b635-46de-838c-499dd4e01cfa,786c66c6-10fe-4b0f-bd15-10d5dd8e6735
9a29039b-1768-4661-b1be-a70f69b4ab89,786c66c6-10fe-4b0f-bd15-10d5dd8e6735
ea6c889e-2c79-4c5e-a67b-ccffeaedd467,786c66c6-10fe-4b0f-bd15-10d5dd8e6735
9b5ce536-b635-46de-838c-499dd4e01cfa,f0feda8f-afc5-41d6-a7eb-f9faeedcf08b
420a53b0-4eb0-4549-8878-3a5f9b39a2a8,f0feda8f-afc5-41d6-a7eb-f9faeedcf08b
c2a298a3-9afb-4e59-adf3-de69a21ef57f,f0feda8f-afc5-41d6-a7eb-f9faeedcf08b
d8d1f27f-7438-4525-b90a-d94821a6549a,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
fbc769fc-5797-414e-8a4c-94b09b2c8948,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
684b7672-1e2b-40a1-a96f-f4869921b787,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
9855654a-aa34-4207-b7c3-693e4df6c846,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
61a0f8ba-7214-4458-a094-3ba293297135,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
b023522c-7f7d-4747-ac2e-16d1ea8c8299,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
2f3bcfd9-6ffb-4fd7-9e2a-426c6ec5d0ce,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
9b5ce536-b635-46de-838c-499dd4e01cfa,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
8119878e-1875-4cdf-a6a8-a9025057ddc8,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
c2a298a3-9afb-4e59-adf3-de69a21ef57f,e27fbbbc-c2ff-476a-ab40-47b3a223a1b0
8e668f6b-c6d0-41d8-aab7-b04487d23519,48fdaa55-7bbd-4d75-ba1f-231a30075f7b
497e2199-283f-4b19-b709-481acbf5da8d,48fdaa55-7bbd-4d75-ba1f-231a30075f7b
de7075f2-8cf5-459f-a754-34684a808d0d,48fdaa55-7bbd-4d75-ba1f-231a30075f7b
33a47266-b0b8-4ca7-9fc8-7f1f3908e6f3,48fdaa55-7bbd-4d75-ba1f-231a30075f7b
2536def5-f55f-41bc-9934-5859cce812e3,b045aef4-b0aa-45a7-b9d4-1e9a399af475
6da3f364-a033-421e-b06d-d967ec762966,b045aef4-b0aa-45a7-b9d4-1e9a399af475
