uuid,First Name,Last Name,Orcid,google_scholar,pubmed,institution_url,gender
dea9ebf7-9242-4cb2-a9b5-52fab9e0d6b9,Tewodros,Walle,https://orcid.org/0000-0003-3149-2485,,,,male
c67da403-3e4e-458f-ad81-8ba107746ba2,Oliver,Broad,https://orcid.org/0000-0002-6179-927X,,,,male
b6f57ad4-92bf-4bec-9556-1bd202f32f4d,Elusiyan,Eludoyin,https://orcid.org/0000-0001-8801-9686,,,,male
15651967-81dc-406f-95cf-50a30a8ae806,Will,Usher,https://orcid.org/0000-0001-9367-1791,,,,male
ac05a2ca-30fa-42d3-8e83-3a920358fa1e,Brent,Boehlert,https://orcid.org/0000-0003-2540-4143,,,,male
eea52748-cbc8-4a34-b99c-60ec22c4124d,Pablo C.,Benitez,,,,,male
ec5b5952-02d1-4642-9323-c812a09d2390,Aoife,Brophy,https://orcid.org/0000-0003-2407-2490,,,,female
4330e382-4f96-4fcc-a7fa-aa467c641865,Scot,Wheeler,,,,,male
835f03d3-04e5-4c17-846e-0ca19b8123ba,Malcolm D.,McCulloch,https://orcid.org/0000-0001-5378-1128,,,,male
e9288a93-9a5f-4674-a9f1-ab75a861efdc,Michiyo,Iwami,https://orcid.org/0000-0003-3086-5921,,,,female
5949edee-f45a-4af3-9e8f-479da513504c,Yishan,Chen,https://orcid.org/0000-0003-3630-9192,,,,female
688225ae-537d-4cbb-a151-f554e09dbf73,Mingbo,Wu,https://orcid.org/0000-0002-1236-7091,,,,male
b88df39d-b797-4e96-8a43-8b5d36af821a,Imran,Mannan,https://orcid.org/0000-0001-9053-5540,,,,male
0a7cc929-dd20-4323-bc7c-2ff4d9f506be,Delight,Sedzro,https://orcid.org/0000-0001-8568-2001,,,,female
1696029f-8664-43a6-9d5b-e253f7a0ceae,Bozhil,Kondev,,,,,male
3a6b6e54-4ef6-471a-940b-03f49a1ed002,James,Dixon,https://orcid.org/0000-0001-8930-805X,,,,male
36121960-7cf5-4ce3-b8ec-c4638f44ae4b,Zhaoqi,Zhou,,,,https://www.geog.ox.ac.uk/graduate/research/zzhou.html,male
ccf954ea-2bbc-4614-86cb-c8a492b4b665,Rahat,Sabyrbekov,,,,https://osce-academy.net/en/academics/faculty/full/233.html,male
584ef3bd-e3d5-47f6-bd32-3aa11f38cc55,Kanat,Sultanaliev,,,,https://www.auca.kg/en/directory_contacts/268/,male
70784960-d508-44ee-abca-c0699dac0a1d,Francesco,Gardumi,https://orcid.org/0000-0001-8371-9325,,,,male
94bf306d-7c69-4638-bbfd-af7371662296,Luca,Petrarulo,,,,,male
73bbc494-5181-4eb9-81d6-4a0df2d71d23,S.,Sesay,,,,,
bdda0e8f-1e42-4cac-9d8c-16b463312a02,D.,Caulker,,,,,
c0732169-c17e-49f4-8650-2d774296db3b,Beste,Akbas,https://orcid.org/0000-0002-1140-1403,,,,female
